r0812	1.14.12.12	C16202	C03012
r0814	1.13.11.56	C03012	C06204	R04117
r0815	5.99.1.4	C06204	C06203	R05137
r0816	4.1.2.25	C06203	C00022
r0809	1.13.11.-	C07138	C21928
r0810	3.5.99.-	C21928	C02167
r0811	3.7.1.-	C02167	C00022
r0818		C21928	C21928
