r0580	1.14.12.-	C06335	C06674	R05279
r0581	1.13.11.-	C06674	C06675	R05278
r1457	3.5.1.-	C18350	C07458
r1458	3.10.1.-	C07458	C06335
r1459	1.14.13.-	C06335	C12849
r0582	5.3.3.-	C06675	C06676
r0583	3.1.1.92	C06676	C02222	R05420
r1460	1.14.12.-	C12849	C02814
r1636	1.13.11.-	C12849	C06674
