r1333	2.3.1.5	C00024	C07585	R08248
r1334	1.11.1.6	C07054	C02421
r0483		C03458	C01596	R07949
r1335	1.11.1.6	C07054	C21754
r1336	3.5.1.-	C07054	C07446	R08251
r1346	3.5.1.4	C02421	C07446
