r1620	1.3.1.87	C12622	C12623	R06785
r1619	1.14.12.19	C00423	C12622	R06783
r1619	1.14.12.19	C10438	C12622
r1621	1.13.11.16	C12623	C12624	R06788
r1622	3.7.1.14	C12624	C00596	R06789
