r0530	3.1.1.45	C12834	C12835	R06835
r0531	1.3.1.32	C12835	C12836	R06848
r0532	3.7.1.-	C12836	C00042
r0526	1.14.12.-	C06594	C12832
r0527	1.3.1.19	C12832	C12831
r0529	5.5.1.7	C12833	C12834	R06834
r0533	1.97.1.-	C06594	C07092
r0534	1.97.1.-	C07092	C03122
r0534	1.97.1.-	C07092	C11036
r0534	1.97.1.-	C07092	C11272
r0534	1.97.1.-	C07092	C06990
r0528	1.13.11.1	C12831	C12833
