rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0530	c0488	c0489	e0066	3.1.1.45	C12834		C12835	
r0531	c0489	c0490	e0063	1.3.1.32	C12835		C12836	
r0532	c0490	c0312	e0890	3.7.1.-	C12836		C00042	
r0526	c0465	c0484	e0062	1.14.12.-	C06594		C12832	
r0527	c0484	c0485	e0060	1.3.1.19	C12832		C12831	
r0529	c0487	c0488	e0065	5.5.1.7	C12833		C12834	
r0533	c0465	c0593	e1005	1.97.1.-	C06594		C07092	
r0534	c0593	c0105	e1006	1.97.1.-	C07092		C03122	C11036;C11272;C06990
r0528	c0485	c0487	e0064	1.13.11.1	C12831		C12833	
