rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0580	c0551	c0427	e0393	1.14.12.-	C06335		C06674	
r0581	c0427	c0552	e0385	1.13.11.-	C06674		C06675	
r1457	c1263	c1264	e0928	3.5.1.-	C18350		C07458	
r1458	c1264	c0551	e0929	3.10.1.-	C07458		C06335	
r1459	c0551	c1265	e0930	1.14.13.-	C06335		C12849	
r0582	c0552	c0553	e0379	5.3.3.-	C06675		C06676	
r0583	c0553	c0099	e0384	3.1.1.92	C06676		C02222	
r1460	c1265	c0264	e0931	1.14.12.-	C12849		C02814	
r1636	c1265	c0427	e1074	1.13.11.-	C12849		C06674	
