r0100	4.1.3.39	C03589	C00084	R00750
r0133	1.14.12.18	C06584	C06585	R05261	R05262
r0134	1.3.1.56	C06585	C06586	R05241
r0135	1.13.11.39	C06586	C06587	R05245
r0136	3.7.1.8	C06587	C00596	R05359
r0101	4.2.1.80	C00596	C03589	R02601
