rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0304	c0315	c0316	e0246	5.4.4.1	C02720		C01987	
r0305	c0316	c0318	e0247	1.13.11.-	C01987		C03824	
r0307	c0097	c0107	e0156	1.13.11.2	C15571	C00090;C05060;C01785	C00682	
r0601	c0097	c0586	e0064	1.13.11.1	C15571	C00090;C05060;C01785	C02480	C03647
r1047	c0929	c0097	e0522	1.14.12.-	C00292		C15571	C00090;C05060;C01785
r1671	c0107	c0102	e0139	3.7.1.9	C00682		C00596	
r0302	c0313	c0314	e0245	1.7.1.-	C06813		C06876	
r0303	c0314	c0315	e0245	1.7.1.-	C06876		C02720	
r0306	c0313	c0097	e0248	1.14.12.-	C06813		C15571	C00090;C05060;C01785
