rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1625	c1402	c1403	e1065	1.7.1.-	C11065		C11065	
r1626	c0031	c1404	e0341	2.3.1.5	C00024		C11065	
r1627	c1404	c0289	e1066	1.14.12.-	C11065		C02625	C14521
r1629	c1405	c0090	e1067	3.5.1.-	C06804		C02372	
r1630	c1402	c0086	e1068	1.14.12.-	C11065		C00870	
