rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1783	c1549	c1557	e1200	1.1.1.263	C06485		C07326	C16538
r1784	c1557	c1558	e1201	2.7.1.1	C07326	C16538	C01113	
r1786	c1549	c1560	e1203	1.1.1.292	C06485		C16538	C07326
r1781	c1562	c1549	e1199	4.2.2.13	C01898	C17207;C01835;C01935;C00420;C06219	C06485	
r1782	c1563	c1549	e1199	4.2.2.13	C06422	C06421;C20861;C20236;C00897;C02964;C01971;C00185;C00208;C00243	C06485	
r1785	c1558	c1559	e1202	1.1.1.-	C01113		C02965	
r1787	c1560	c1561	e1204	1.14.-.-	C16538	C07326	C02209	C15923;C00267;C06465;C00221;C00962;C00159;C21032;C01487;C06464
