rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0879	c0799	c0800	e1010	1.97.1.-	C18808	C11150	C11149	C19212;C20123
r0880	c0800	c0801	e1011	1.97.1.-	C11149	C19212;C20123	C18588	C01812;C06108;C06755
r0881	c0801	c0050	e1229	1.97.1.-	C18588	C01812;C06108;C06755	C12554	C00033
r1028	c0801	c0008	e0006	3.8.1.3	C18588	C01812;C06108;C06755	C00160	C03547
r0882	c0799	c0802	e1012	4.1.1.-	C18808	C11150	C14708	C13827;C14707;C13383;C14692;C19361
