r0137 e0110
r0137 e0110 6.2.1.-
r0138 e0111
r0138 e0111 1.3.1.63
r0139 e0112
r0139 e0112 6.2.1.33
r0140 e0113
r0140 e0113 3.8.1.7
r0141 e0118
r0141 e0118 3.1.2.23
