r0005 e0008
r0005 e0008 4.1.1.59
r0008 e0011
r0008 e0011 3.7.1.-
r0012 e0012
r0012 e0012 2.8.3.8
r0013 e0034
r0013 e0034 1.3.8.1
r0006 e0009
r0006 e0009 1.97.1.2
r0007 e0010
r0007 e0010 1.3.1.57
r0009 e0012
r0009 e0012 2.8.3.8
r0010 e0013
r0010 e0013 2.3.1.-
r0011 e0014
r0011 e0014 4.2.1.17
