r0083	4.2.1.84	C01998	C01659	R05379
r0084	3.5.1.4	C01659	C00511	R05551
r0084	3.5.1.4	C01659	C19501
r0085	2.8.3.12	C00511	C00894	R05509
r0085	2.8.3.12	C19501	C00894
r0086	4.2.1.54	C00894	C00827	R02963
r0087	2.8.3.1	C00827	C00186	R01449	R05508
r0087	2.8.3.1	C00827	C01432
r0087	2.8.3.1	C00827	C00256
r0622	3.5.5.7	C01998	C00511	R05358
r0622	3.5.5.7	C01998	C19501
