rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0061	c0080	c0081	e0051	3.3.2.-	C14449		C18676	
r0056	c0018	c0077	e0048	4.5.1.-	C14399		C14449	
r0057	c0077	c0078	e0049	3.3.2.-	C14449		C18676	
r0058	c0078	c0079	e0048	4.5.1.-	C18676		C10920	
r0060	c0018	c0080	e0050	4.5.1.-	C14399		C14449	
r0062	c0081	c0082	e0050	4.5.1.-	C18676		C10920	
r0059	c0079	c0066	e0049	3.3.2.-	C10920		C00116	
r0063	c0082	c0066	e0051	3.3.2.-	C10920		C00116	
