r0003	1.2.1.3	C15488	C01812
r0003	1.2.1.3	C15488	C06108
r0003	1.2.1.3	C15488	C06755
r0003	1.2.1.3	C15488	C18588
r0003	1.2.1.3	C14870	C01812
r0003	1.2.1.3	C14870	C06108
r0003	1.2.1.3	C14870	C06755
r0003	1.2.1.3	C14870	C18588
r0003	1.2.1.3	C06754	C01812
r0003	1.2.1.3	C06754	C06108
r0003	1.2.1.3	C06754	C06755	R05286
r0003	1.2.1.3	C06754	C18588
r0001	3.8.1.5	C06752	C06753	R05284
r0001	3.8.1.5	C11088	C06753
r0002	1.1.2.7	C06753	C15488
r0002	1.1.2.7	C06753	C14870
r0002	1.1.2.7	C06753	C06754	R09128
r0004	3.8.1.3	C01812	C03547
r0004	3.8.1.3	C01812	C00160	R02336
r0004	3.8.1.3	C06108	C03547
r0004	3.8.1.3	C06108	C00160	R02857
r0004	3.8.1.3	C06755	C03547
r0004	3.8.1.3	C06755	C00160	R05287
r0004	3.8.1.3	C18588	C03547
r0004	3.8.1.3	C18588	C00160
r0090	3.8.1.2	C01812	C03547
r0090	3.8.1.2	C01812	C00160
r0090	3.8.1.2	C06108	C03547
r0090	3.8.1.2	C06108	C00160
r0090	3.8.1.2	C06755	C03547
r0090	3.8.1.2	C06755	C00160	R05287
r0090	3.8.1.2	C18588	C03547
r0090	3.8.1.2	C18588	C00160
