rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0003	c0003	c0007	e0024	1.2.1.3	C15488	C14870;C06754	C01812	C06108;C06755;C18588
r0001	c0001	c0005	e0003	3.8.1.5	C06752	C11088	C06753	
r0002	c0005	c0003	e0004	1.1.2.7	C06753		C15488	C14870;C06754
r0004	c0007	c0008	e0006	3.8.1.3	C01812	C06108;C06755;C18588	C03547	C00160
r0090	c0007	c0008	e0021	3.8.1.2	C01812	C06108;C06755;C18588	C03547	C00160
