rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1571	c1354	c1355	e1023	1.14.13.-	C14440		C14440	
r1573	c1354	c0542	e1025	3.3.2.-	C14440		C15588	C01380
r1617	c1379	c0542			C01620		C15588	C01380
r1618	c1357	c0008			C21593		C00160	C03547
r1572	c1356	c1357	e1024	1.14.-.-	C14689		C21593	
r1594	c1356	c1379	e1024	1.14.-.-	C14689		C01620	
r1595	c1355	c1356			C14440		C14689	
