r0401	1.2.1.7	C03067	C00587	R07666
r0153	1.14.13.23	C00587	C00230	R01628
r0081	1.14.13.-	C01467	C03351	R07665
r0400	1.1.1.90	C03351	C03067
r0402	1.14.13.24	C00587	C00628	R02589
