r1009	1.14.99.39	C19354	C00084
r1009	1.14.99.39	C18248	C00084	R09156
r1007	1.97.1.-	C18246	C18247	R09154
r1008	1.97.1.-	C18247	C19354
r1008	1.97.1.-	C18247	C18248	R09155
r1010	1.14.13.25	C18246	C07490	R09148
