r0189	6.2.1.25	C00539	C00512
r0189	6.2.1.25	C00180	C00512	R01422
r0190	1.3.7.8	C00512	C06322	R02451
r0200	4.2.1.17	C00877	C03561
r0200	4.2.1.17	C00877	C01144	R03026
r0200	4.2.1.17	C00877	C05116	R05595
r0201	2.3.1.9	C00332	C00024	R00238
r0191	4.2.1.-	C09811	C09812	R05600
r0195	4.2.1.17	C06723	C06714
r0203	4.2.1.100	C06322	C06749	R05597
r0506		C09809	C06322	R05609
r0507		C09810	C06322	R05610
r0192	1.1.-.-	C09812	C09813
r0196	1.1.1.259	C06714	C06715	R05305
r0198	1.3.8.6	C00527	C02411	R10074
r0199	4.1.1.70	C02411	C00877
r0202	1.1.1.36	C03561	C00332	R01977
r0202	1.1.1.36	C01144	C00332
r0202	1.1.1.36	C05116	C00332
r0204	4.2.1.-	C06749	C09824	R05602
r0205	1.1.-.-	C09824	C09825	R05583
r0193	3.7.1.-	C09813	C01063
r0194	1.3.1.62	C01063	C06723	R05311
r0197	2.3.1.-	C06715	C00024
r0206	3.7.1.-	C09825	C06714
r0321	4.1.1.-	C06337	C00539
r0321	4.1.1.-	C06337	C00180
