rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1638	c1410	c1418	e1073	1.13.11.-	C05616		C18345	
r1640	c1418	c1411	e1075	3.1.1.-	C18345		C04434	
r1673	c0006	c1411	e1107	1.13.11.57	C01424		C04434	
r1674	c1418	c1429			C18345		C03671	
r1675	c0192	c1429	e1108	1.2.1.-	C04484		C03671	
r1632	c1409	c1410	e1069	2.1.1.-	C10833		C05616	
r1639	c1410	c1429	e0115	1.13.11.8	C05616		C03671	
r1641	c1429	c1411	e1076	3.1.1.57	C03671		C04434	
r1672	c1410	c0006	e1106	2.1.1.-	C05616		C01424	
