r1380	1.5.8.1	C00543	C00218	R01588
r1373	1.13.12.-	C11275	C00565
r1374	1.2.1.42	C00517	C00154	R01277
r1378	1.5.8.2	C00565	C00067	R02511
r1404	1.2.1.48	C00517	C00249	R01704
r1407	1.14.13.-	C00565	C01104
r1408	6.2.1.3	C00249	C00154	R01280
r1409	4.1.2.32	C01104	C00067	R02512
