r0033	6.4.1.8	C07113	C07114	R05453
r0242	6.2.1.-	C07114	C07118	R05452
r0032	1.1.1.311	C07112	C07113
r0032	1.1.1.311	C11348	C07113	R05352
r0234	1.17.99.2	C07111	C07112
r0234	1.17.99.2	C07111	C11348	R05745
r0243	2.3.1.-	C07118	C00024	R05506
