rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0719	c0653	c0654	e0450	1.97.1.-	C18759		C18759	
r0723	c0657	c0097	e0909	1.14.12.-	C07565		C05060	C00090;C01785;C15571
r0724	c0653	c0659	e0910	1.14.12.-	C18759		C21404	
r0725	c0659	c0131			C21404		C00011	
r0726	c0656	c0160	e0058	1.4.9.1	C06748		C00084	
r0913	c0654	c0655	e0570	3.5.1.-	C18759		C14455	
r0914	c0654	c0657	e0571	1.14.-.-	C18759		C07565	
r0721	c0655	c0097	e0908	1.14.12.-	C14455		C05060	C00090;C01785;C15571
