r0014 e0018
r0014 e0018 1.2.-.-
r0016 e0017
r0016 e0017 3.1.1.-
r0018 e0016
r0018 e0016 1.1.-.-
r0019 e0026
r0019 e0026 5.3.99.-
r0017 e0015
r0017 e0015 1.14.13.-
