rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0793	c0722	c0730	e0494	3.1.3.-	C21744		C13197	
r0761	c0722	c0698	e0481	1.12.2.1	C21744		C07295	
r0794	c0722	c0698			C21744		C07295	
