r0100	4.1.3.39	C03589	C00022	R00750
r0105	1.13.11.5	C00544	C01036	R02519
r0105	1.13.11.5	C00544	C01061
r0259	3.7.1.9	C07087	C00596	R05362
r0035	1.2.1.39	C00601	C07086	R02536
r0036	1.14.14.-	C07086	C05852
r0101	4.2.1.80	C00596	C03589	R02601
r0106	5.2.1.2	C01036	C01061	R03181
r0106	5.2.1.2	C01036	C01036
r0106	5.2.1.2	C01061	C01061
r0106	5.2.1.2	C01061	C01036	R03181
r0225	1.14.13.-	C19506	C20782
r0225	1.14.13.-	C19506	C02083
r0225	1.14.13.-	C07083	C20782
r0225	1.14.13.-	C07083	C02083
r0252	1.14.13.-	C05852	C00544	R05450
r0256	1.14.12.-	C19506	C07084
r0256	1.14.12.-	C07083	C07084	R05417
r0034	5.3.99.7	C20782	C00601	R10697
r0034	5.3.99.7	C02083	C00601	R02615
r0257	1.3.1.19	C07084	C07085	R05354
r0258	1.13.11.2	C07085	C07087	R05404
