r0005	4.1.1.59	C01424	C01108	R03247
r0008	3.7.1.-	C06719	C16272	R07831
r0012	2.8.3.8	C00136	C00246	R01179
r0013	1.3.8.1	C00877	C00136	R01175
r0006	1.97.1.2	C01108	C02183	R04297
r0007	1.3.1.57	C02183	C06719	R05308
r0009	2.8.3.8	C16272	C16273	R07832
r0010	2.3.1.-	C16273	C05116
r0010	2.3.1.-	C16273	C03561
r0010	2.3.1.-	C16273	C01144	R07833
r0011	4.2.1.17	C05116	C00877	R05595
r0011	4.2.1.17	C03561	C00877
r0011	4.2.1.17	C01144	C00877	R03026
