rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0005	c0006	c0025	e0008	4.1.1.59	C01424		C01108	
r0008	c0027	c0028	e0011	3.7.1.-	C06719		C16272	
r0012	c0023	c0035	e0012	2.8.3.8	C00136		C00246	
r0013	c0032	c0023	e0034	1.3.8.1	C00877		C00136	
r0006	c0025	c0026	e0009	1.97.1.2	C01108		C02183	
r0007	c0026	c0027	e0010	1.3.1.57	C02183		C06719	
r0009	c0028	c0029	e0012	2.8.3.8	C16272		C16273	
r0010	c0029	c0030	e0013	2.3.1.-	C16273		C05116	C03561;C01144
r0011	c0030	c0032	e0014	4.2.1.17	C05116	C03561;C01144	C00877	
