rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1569	c1367	c1368	e1022	1.6.6.9	C14452		C14452	
r1570	c1368	c0122	e0854	1.5.8.2	C14452		C00067	
